institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015,2015-08,8,0.7211179112215544,0.7121244655923354,0.07537889575894338,0.008993445629218999
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2016,2016-09,9,0.6656448998383843,0.7121244655923354,0.07537889575894338,-0.04647956575395118
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2017,2017-09,9,0.6859815037258132,0.7121244655923354,0.07537889575894338,-0.026142961866522207
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2018,2018-09,9,0.6349710146232128,0.7121244655923354,0.07537889575894338,-0.07715345096912263
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2019,2019-09,9,0.6637261541373809,0.7121244655923354,0.07537889575894338,-0.048398311454954546
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2020,2020-09,9,0.6908899041269202,0.7121244655923354,0.07537889575894338,-0.021234561465415247
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2021,2021-09,9,0.6823959476197134,0.7121244655923354,0.07537889575894338,-0.029728517972621993
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2022,2022-09,9,0.566907611993182,0.7121244655923354,0.07537889575894338,-0.14521685359915348
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2023,2023-09,9,0.6433475295141974,0.7121244655923354,0.07537889575894338,-0.06877693607813806
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2024,2024-09,9,0.6014780175014357,0.7121244655923354,0.07537889575894338,-0.11064644809089974
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2025,2025-09,9,0.6328348069126133,0.7121244655923354,0.07537889575894338,-0.07928965867972215
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2026,2026-09,9,0.5733207635027068,0.7121244655923354,0.07537889575894338,-0.13880370208962867
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2027,2027-09,9,0.6422316148617249,0.7121244655923354,0.07537889575894338,-0.06989285073061058
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2028,2028-09,9,0.5926465192806198,0.7121244655923354,0.07537889575894338,-0.1194779463117156
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2029,2029-09,9,0.6185432950796231,0.7121244655923354,0.07537889575894338,-0.09358117051271231
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2030,2030-09,9,0.561289015451974,0.7121244655923354,0.07537889575894338,-0.15083545014036148
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2031,2031-09,9,0.6180234614560344,0.7121244655923354,0.07537889575894338,-0.09410100413630107
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2032,2032-09,9,0.5878940330657737,0.7121244655923354,0.07537889575894338,-0.12423043252656174
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2033,2033-09,9,0.624507173251127,0.7121244655923354,0.07537889575894338,-0.08761729234120841
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2034,2034-09,9,0.5519187179023721,0.7121244655923354,0.07537889575894338,-0.16020574768996332
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2035,2035-09,9,0.584763600005722,0.7121244655923354,0.07537889575894338,-0.12736086558661341
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2036,2036-09,9,0.5896000991243973,0.7121244655923354,0.07537889575894338,-0.12252436646793818
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2037,2037-09,9,0.6089204960778907,0.7121244655923354,0.07537889575894338,-0.10320396951444477
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2038,2038-09,9,0.5453305151480728,0.7121244655923354,0.07537889575894338,-0.1667939504442626
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2039,2039-09,9,0.5210268528807152,0.7121244655923354,0.07537889575894338,-0.1910976127116203
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2040,2040-09,9,0.618654331686291,0.7121244655923354,0.07537889575894338,-0.09347013390604442
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2041,2041-09,9,0.5439889385886727,0.7121244655923354,0.07537889575894338,-0.16813552700366274
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2042,2042-09,9,0.5879294039447572,0.7121244655923354,0.07537889575894338,-0.12419506164757821
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2043,2043-09,9,0.5793969094928774,0.7121244655923354,0.07537889575894338,-0.13272755609945808
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2044,2044-09,9,0.6105167498897844,0.7121244655923354,0.07537889575894338,-0.101607715702551
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2045,2045-09,9,0.5128709157294622,0.7121244655923354,0.07537889575894338,-0.19925354986287325
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2046,2046-09,9,0.4937005105188045,0.7121244655923354,0.07537889575894338,-0.21842395507353096
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2047,2047-09,9,0.5412386838235602,0.7121244655923354,0.07537889575894338,-0.17088578176877522
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2048,2048-09,9,0.5279096416076435,0.7121244655923354,0.07537889575894338,-0.1842148239846919
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2049,2049-09,9,0.4839416084488634,0.7121244655923354,0.07537889575894338,-0.22818285714347203
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2050,2050-09,9,0.45187851796573314,0.7121244655923354,0.07537889575894338,-0.2602459476266023
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2051,2051-09,9,0.4316896523558154,0.7121244655923354,0.07537889575894338,-0.28043481323652003
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2052,2052-09,9,0.38540791031845467,0.7121244655923354,0.07537889575894338,-0.32671655527388077
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2053,2053-09,9,0.404909236008987,0.7121244655923354,0.07537889575894338,-0.30721522958334846
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2054,2054-09,9,0.4008650675610256,0.7121244655923354,0.07537889575894338,-0.31125939803130986
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2055,2055-09,9,0.3852721131730592,0.7121244655923354,0.07537889575894338,-0.32685235241927624
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2056,2056-09,9,0.3801970525185921,0.7121244655923354,0.07537889575894338,-0.33192741307374335
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2057,2057-09,9,0.3430593319038978,0.7121244655923354,0.07537889575894338,-0.36906513368843763
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2058,2058-09,9,0.4450499831786005,0.7121244655923354,0.07537889575894338,-0.26707448241373494
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2059,2059-09,9,0.33597126992754967,0.7121244655923354,0.07537889575894338,-0.3761531956647858
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2060,2060-09,9,0.45060280593705504,0.7121244655923354,0.07537889575894338,-0.2615216596552804
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2061,2061-09,9,0.40076040907326904,0.7121244655923354,0.07537889575894338,-0.3113640565190664
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2062,2062-09,9,0.4068357612971273,0.7121244655923354,0.07537889575894338,-0.30528870429520816
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2063,2063-09,9,0.35567806726201495,0.7121244655923354,0.07537889575894338,-0.3564463983303205
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2064,2064-09,9,0.30864510504828013,0.7121244655923354,0.07537889575894338,-0.4034793605440553
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2065,2065-09,9,0.36609001735959995,0.7121244655923354,0.07537889575894338,-0.3460344482327355
